,Weapon,Skin Name,Situation,StatTrak,Souvenir,Quantity,Lowest Price,Last Sold Price
0,AK-47,Phantom Disruptor,Factory New,StatTrak, - ,76,$50.62 USD,$48.42 USD
1,AK-47,The Empress,Factory New, - , - ,36,$191.04 USD,$182.74 USD
2,AK-47,Baroque Purple,Factory New, - , - ,100,$17.04 USD,$16.30 USD
3,AK-47,Bloodsport,Factory New, - , - ,75,$170.98 USD,$163.55 USD
4,AK-47,Elite Build,Factory New,StatTrak, - ,144,$27.79 USD,$26.59 USD
5,AK-47,Predator,Factory New, - , - ,16,$76.13 USD,$72.82 USD
6,AK-47,Point Disarray,Factory New, - , - ,106,$36.64 USD,$35.05 USD
7,AK-47,Case Hardened,Factory New, - , - ,24,$476.17 USD,$455.47 USD
8,AK-47,Point Disarray,Factory New,StatTrak, - ,21,$108.67 USD,$103.95 USD
9,AK-47,The Empress,Factory New,StatTrak, - ,7,$445.00 USD,$425.66 USD
10,AK-47,Phantom Disruptor,Factory New,StatTrak, - ,76,$50.62 USD,$48.42 USD
11,AK-47,The Empress,Factory New, - , - ,36,$191.04 USD,$182.74 USD
12,AK-47,Baroque Purple,Factory New, - , - ,100,$17.04 USD,$16.30 USD
13,AK-47,Bloodsport,Factory New, - , - ,75,$170.98 USD,$163.55 USD
14,AK-47,Elite Build,Factory New,StatTrak, - ,144,$27.79 USD,$26.59 USD
15,AK-47,Predator,Factory New, - , - ,16,$76.13 USD,$72.82 USD
16,AK-47,Point Disarray,Factory New, - , - ,106,$36.64 USD,$35.05 USD
17,AK-47,Case Hardened,Factory New, - , - ,24,$476.17 USD,$455.47 USD
18,AK-47,Point Disarray,Factory New,StatTrak, - ,21,$108.67 USD,$103.95 USD
19,AK-47,The Empress,Factory New,StatTrak, - ,7,$445.00 USD,$425.66 USD
20,AK-47,Point Disarray,Factory New, - , - ,106,$36.64 USD,$35.05 USD
21,AK-47,Blue Laminate,Factory New,StatTrak, - ,171,$40.86 USD,$39.09 USD
