Unnamed: 0,Weapon,Skin Name,Situation,StatTrak,Souvenir,Quantity,Lowest Price,Last Sold Price
9,AK-47,The Empress,Factory New,StatTrak, - ,7,$445.00 USD,$425.66 USD
164,AK-47,Neon Revolution,Field-Tested,StatTrak, - ,50,$48.69 USD,$46.58 USD
139,AK-47,Asiimov,Field-Tested,StatTrak, - ,77,$80.17 USD,$76.69 USD
46,AK-47,Point Disarray,Factory New, - , - ,106,$36.64 USD,$35.05 USD
94,AK-47,Cartel,Minimal Wear,StatTrak, - ,46,$47.38 USD,$45.32 USD
101,AK-47,Jungle Spray,Minimal Wear, - , - ,103,$18.64 USD,$17.83 USD
84,AK-47,Cartel,Minimal Wear,StatTrak, - ,46,$47.38 USD,$45.32 USD
311,AK-47,Point Disarray,Battle-Scarred, - , - ,127,$9.83 USD,$9.41 USD
316,AK-47,Jungle Spray,Battle-Scarred, - , - ,74,$6.27 USD,$6.00 USD
219,AK-47,Predator,Well-Worn, - , - ,83,$17.29 USD,$16.54 USD
175,AK-47,Orbit Mk01,Field-Tested,StatTrak, - ,41,$33.18 USD,$31.74 USD
319,AK-47,Aquamarine Revenge,Battle-Scarred, - , - ,104,$20.60 USD,$19.71 USD
73,AK-47,Redline,Minimal Wear,StatTrak, - ,12,$293.51 USD,$280.75 USD
55,AK-47,Predator,Factory New, - , - ,16,$76.13 USD,$72.82 USD
260,AK-47,Safety Net,Battle-Scarred, - , - ,104,$5.75 USD,$5.50 USD
137,AK-47,The Empress,Field-Tested,StatTrak, - ,33,$104.14 USD,$99.62 USD
124,AK-47,Neon Revolution,Field-Tested,StatTrak, - ,50,$48.69 USD,$46.58 USD
327,AK-47,Neon Revolution,Battle-Scarred,StatTrak, - ,29,$42.57 USD,$40.72 USD
82,AK-47,Predator,Minimal Wear, - , - ,183,$18.89 USD,$18.07 USD
177,AK-47,The Empress,Field-Tested,StatTrak, - ,33,$104.14 USD,$99.62 USD
5,AK-47,Predator,Factory New, - , - ,16,$76.13 USD,$72.82 USD
42,AK-47,Baroque Purple,Factory New, - , - ,100,$17.04 USD,$16.30 USD
119,AK-47,Safari Mesh,Minimal Wear, - ,Souvenir,44,$22.32 USD,$21.35 USD
306,AK-47,Jungle Spray,Battle-Scarred, - , - ,74,$6.27 USD,$6.00 USD
25,AK-47,Slate,Factory New,StatTrak, - ,76,$51.12 USD,$48.90 USD
110,AK-47,Black Laminate,Minimal Wear, - , - ,166,$40.57 USD,$38.81 USD
289,AK-47,Aquamarine Revenge,Battle-Scarred, - , - ,104,$20.60 USD,$19.71 USD
256,AK-47,Orbit Mk01,Well-Worn, - , - ,33,$15.58 USD,$14.91 USD
278,AK-47,Point Disarray,Battle-Scarred,StatTrak, - ,25,$23.35 USD,$22.34 USD
237,AK-47,Frontside Misty,Well-Worn,StatTrak, - ,25,$37.40 USD,$35.78 USD
262,AK-47,Point Disarray,Battle-Scarred, - , - ,126,$9.83 USD,$9.41 USD
297,AK-47,Neon Revolution,Battle-Scarred,StatTrak, - ,29,$42.57 USD,$40.72 USD
210,AK-47,Jaguar,Well-Worn, - , - ,37,$32.39 USD,$30.99 USD
232,AK-47,Point Disarray,Well-Worn, - , - ,74,$17.27 USD,$16.52 USD
272,AK-47,Neon Rider,Battle-Scarred, - , - ,62,$27.90 USD,$26.69 USD
310,AK-47,Black Laminate,Battle-Scarred, - , - ,26,$34.50 USD,$33.00 USD
182,AK-47,Cartel,Field-Tested,StatTrak, - ,99,$29.99 USD,$28.69 USD
57,AK-47,Case Hardened,Factory New, - , - ,24,$476.17 USD,$455.47 USD
33,AK-47,Bloodsport,Factory New, - , - ,74,$171.12 USD,$163.68 USD
63,AK-47,Redline,Minimal Wear,StatTrak, - ,12,$293.51 USD,$280.75 USD
168,AK-47,Point Disarray,Field-Tested,StatTrak, - ,69,$29.67 USD,$28.38 USD
298,AK-47,Point Disarray,Battle-Scarred,StatTrak, - ,25,$23.35 USD,$22.34 USD
176,AK-47,First Class,Field-Tested, - , - ,19,$72.47 USD,$69.32 USD
111,AK-47,Jungle Spray,Minimal Wear, - , - ,103,$18.64 USD,$17.83 USD
271,AK-47,Point Disarray,Battle-Scarred, - , - ,126,$9.83 USD,$9.41 USD
45,AK-47,Predator,Factory New, - , - ,16,$76.13 USD,$72.82 USD
222,AK-47,Point Disarray,Well-Worn, - , - ,74,$17.27 USD,$16.52 USD
309,AK-47,Aquamarine Revenge,Battle-Scarred, - , - ,104,$20.60 USD,$19.71 USD
140,AK-47,Point Disarray,Field-Tested,StatTrak, - ,69,$29.67 USD,$28.38 USD
147,AK-47,Safari Mesh,Field-Tested, - ,Souvenir,193,$12.25 USD,$11.72 USD
90,AK-47,Black Laminate,Minimal Wear, - , - ,166,$40.57 USD,$38.81 USD
16,AK-47,Point Disarray,Factory New, - , - ,106,$36.64 USD,$35.05 USD
78,AK-47,Frontside Misty,Minimal Wear,StatTrak, - ,41,$76.87 USD,$73.53 USD
144,AK-47,Leet Museo,Field-Tested, - , - ,115,$26.33 USD,$25.19 USD
7,AK-47,Case Hardened,Factory New, - , - ,24,$476.17 USD,$455.47 USD
77,AK-47,Wasteland Rebel,Minimal Wear, - , - ,76,$58.19 USD,$55.66 USD
145,AK-47,Black Laminate,Field-Tested, - , - ,145,$36.37 USD,$34.79 USD
294,AK-47,Predator,Battle-Scarred, - , - ,105,$17.68 USD,$16.92 USD
290,AK-47,Black Laminate,Battle-Scarred, - , - ,26,$34.50 USD,$33.00 USD
163,AK-47,Red Laminate,Field-Tested,StatTrak, - ,21,$125.46 USD,$120.01 USD
3,AK-47,Bloodsport,Factory New, - , - ,75,$170.98 USD,$163.55 USD
173,AK-47,Red Laminate,Field-Tested,StatTrak, - ,21,$125.46 USD,$120.01 USD
172,AK-47,Cartel,Field-Tested,StatTrak, - ,99,$29.99 USD,$28.69 USD
250,AK-47,Jaguar,Well-Worn, - , - ,38,$30.07 USD,$28.77 USD
60,AK-47,Black Laminate,Minimal Wear, - , - ,166,$40.57 USD,$38.81 USD
